id_miasta,Liczba_mieszkancow,Liczba_kobiet,Liczba_mezczyzn,Grupa_wiekowa
1,"1724,4","933,2","791,2",ogółem
1,96,"46,5","49,5", 0-4 lata
1,"82,6","40,4","42,2",5-9 lata
1,"61,7","30,3","31,4",10-14 lata
1,"61,6","30,3","31,3",15-19 lata
1,"85,7","43,3","42,4",20-24 lata
1,"138,5",73,"65,5",25-29 lata
1,166,"87,7","78,3",30-34 lata
1,"156,5","82,1","74,4",35-39 lata
1,"114,4","58,8","55,6",40-44 lata
1,"88,7","45,9","42,8",45-49 lata
1,"98,2","52,6","45,6",50-54 lata
1,"133,1","73,5","59,6",55-59 lata
1,"125,9","71,1","54,8",60-64 lata
1,"91,6","53,8","37,8",65-69 lata
1,"64,1","39,3","24,8",70-74 lata
1,"64,7","41,6","23,1",75-79 lata
1,95,63,32,80 lat i więcej
2,"711,3","387,6","323,7",ogółem
2,"17,8","8,7","9,1",0-2 lata
2,"25,2","12,3","12,9",3-6 lat
2,"31,3","15,1","16,1",7-12 lat
2,"15,1","7,4","7,7",13-15 lat
2,"17,3","8,4","8,9",16-18 lat
2,"44,7","22,3","22,4",19-24 lat
2,"111,3","56,1","55,2",25-34 lat
2,"101,2","51,3","49,9",35-44 lat
2,"85,8","46,1","39,7",45-54 lat
2,"124,3","70,6","53,6",55-64 lat
2,"137,5","89,5",48,65 lat i więcej
3,758334,405051,353283,ogółem
3,23201,11053,12148,0-2 lata
3,29265,14303,14962,3-6 lat
3,34750,16765,17985,7-12 lat
3,17202,8511,8691,13-15 lata
3,19550,9645,9905,16-18 lata
3,61436,31234,30202,19-24 lata
3,70129,36425,33704,25-29 lata
3,69171,35472,33699,30-34 lata
3,61272,31337,29935,35-39 lata
3,47436,24275,23161,40-44 lata
3,42322,21892,20430,45-49 lata
3,47864,25698,22166,50-54 lata
3,56943,31440,25503,55-59 lata
3,51666,29210,22456,60-64 lata
3,38476,22034,16442,65-69 lata
3,27876,16573,11303,70-74 lata
3,25983,16228,9755,78-79 lata
3,20101,13173,6928,80 -84 lata
3,9976,6988,2988,85-89 lata
3,3060,2266,794,90-94 lata
3,522,418,104,95-99 lata
3,133,111,22,100 lat i więcej 
4,631235,336666,294569,ogółem
4,19794,9634,10160,0-2 lata
4,22832,11258,11574,3-6 lat
4,35024,17092,17932,7-14 lat
4,14990,7316,7674,15-17 lat
4,11224,5519,5705,18-19 lat
4,46029,23601,22428,20-24 lat
4,60924,31135,29789,25-29 lat
4,58367,29540,28827,30-34 lat
4,48765,24625,24140,35-39 lat
4,35308,17684,17624,40-44 lat
4,33902,17550,16352,45-49 lat
4,43660,23247,20413,50-54 lat
4,52356,28628,23728,55-59 lat
4,46968,26170,20798,60-64 lat
4,25574,14735,10839,65-69 lat
4,23792,14574,9218,70-74 lat
4,22486,14303,8183,75-79 lat
4,17380,11563,5817,80-84 lat
4,11860,8492,3368,85 lat i więcej
5,550742,256499,294243,ogółem
5,17451,8977,8474,0-2 lata
5,21530,11088,10442,3-6 lat
5,24743,12727,12016,7-12 lat
5,12119,6155,5964,13-15 lat
5,13500,6849,6651,16-18 lat
5,42888,21048,21840,19-24 lat
5,103599,50680,52919,25-34 lat
5,76899,37877,39022,35-44 lat
5,63288,30054,33234,45-54 lat
5,84589,37271,47318,55-64 lat
5,90136,33773,56363,65 lat i więcej
6,456658,216374,240284,ogółem
6,12540,6481,6059,0-2 lata
6,14849,7603,7246,3-6 lat
6,33025,16808,16217,7-14 lat
6,15505,8014,7491,15-17 lat
6,11548,5818,5730,18-19 lat
6,37690,18680,19010,20-24 lat
6,40731,19917,20814,25-29 lat
6,38529,19406,19123,30-34 lat
6,29458,14892,14566,35-39 lat
6,26148,13091,13057,40-44 lat
6,31662,15129,16533,45-49 lat
6,38491,17656,20835,50-54 lat
6,36753,16976,19777,55-59 lat
6,21584,9685,11899,60-64 lat
6,20151,8722,11429,65-69 lat
6,18431,7686,10745,70-74 lat
6,14542,5453,9089,75-79 lat
6,15021,4357,10664,80-84 lat
